,TERM,IDF
0,گروه‌اند,9.134322885552267
1,خودرو‌های,5.66858698275254
2,دواست,9.134322885552267
3,وندی,7.524884973118167
4,کارتونیست,8.441175704992322
5,wwf,9.134322885552267
6,ماتسوشیتا,9.134322885552267
7,می‌می,9.134322885552267
8,ذریه,9.134322885552267
9,وآن,9.134322885552267
10,ژیسکار,9.134322885552267
11,حضورمن,9.134322885552267
12,دستورکارهای,9.134322885552267
13,میمون,6.831737792558221
14,مهرنیا,8.441175704992322
15,نگارستان,8.441175704992322
16,چریک‌های,7.524884973118167
17,یابیاسدالله,9.134322885552267
18,نوحه‌ها,7.054881343872431
19,پرتاپ,9.134322885552267
20,تروما‌های,9.134322885552267
21,هنجارهاست,9.134322885552267
22,۵۴,5.145338838987993
23,حوش,7.054881343872431
24,گیم‌ها,9.134322885552267
25,بازیش,9.134322885552267
26,بهانه‌ای,5.0071885005071755
27,سکون,6.243951127656103
28,همونجایی,9.134322885552267
29,نمی‌پذیرم,7.342563416324212
30,دارهایی,9.134322885552267
31,برزویی,9.134322885552267
32,درکانون,9.134322885552267
33,تواناییهای,7.524884973118167
34,مطیع,6.831737792558221
35,گیدئون,9.134322885552267
36,کپول,9.134322885552267
37,سلامتشان,7.342563416324212
38,کرد‌های,8.441175704992322
39,بعلت,9.134322885552267
40,خوانایی,9.134322885552267
41,وثایقی,9.134322885552267
42,خواسته‌ها,6.089800447828844
43,لال,7.748028524432376
44,لاتهدی,9.134322885552267
45,شورشیا,9.134322885552267
46,رسالتنشانه,9.134322885552267
47,۲/۱/۶۳,9.134322885552267
48,داهلن,9.134322885552267
49,هایش,3.2650259724184925
50,چویرا,9.134322885552267
51,توفیق‌های,8.441175704992322
52,آنیبال‌ها,9.134322885552267
53,فرودگاهها,8.035710596884158
54,یابدتا,9.134322885552267
55,نشدگان,9.134322885552267
56,پرتره‌های,8.035710596884158
57,از۷,9.134322885552267
58,اومدی,9.134322885552267
59,شفت,7.748028524432376
60,ماکروس,9.134322885552267
61,یخچالها,9.134322885552267
62,میراث‌ها,8.035710596884158
63,قندتان,9.134322885552267
64,بذرپاشی,8.441175704992322
65,حجابش,9.134322885552267
66,لایحه‌های,8.035710596884158
67,پوسته‌ای,8.441175704992322
68,ازخود,8.035710596884158
69,قلع,7.524884973118167
70,تیتوس,9.134322885552267
71,نمی‌گذارند,6.56937352809073
72,کلائیسیسم,9.134322885552267
73,منایع,9.134322885552267
74,پاراجانف,7.524884973118167
75,آماجگاه,9.134322885552267
76,نگروپونته,7.054881343872431
77,سامانتا,8.441175704992322
78,فهمیده_می‌شود,8.441175704992322
79,نمودیم,8.035710596884158
80,laser,9.134322885552267
81,اشنگتن,9.134322885552267
82,پیاپی,5.24250258744164
83,نوشاندند,9.134322885552267
84,ازجشنواره,9.134322885552267
85,پرسشتان,9.134322885552267
86,امدادهای,9.134322885552267
87,الجالوت,9.134322885552267
88,رئالیسم‎/,9.134322885552267
89,۲/۳۸,8.441175704992322
90,رادنی,9.134322885552267
91,تاد,7.748028524432376
92,حدیثها,9.134322885552267
93,کالگری,9.134322885552267
94,اعظمیان,9.134322885552267
95,ژفر,9.134322885552267
96,cateyes۴u,9.134322885552267
97,محاکمات,8.441175704992322
98,غیرمسابقه,9.134322885552267
99,کمپینگ‌ها,9.134322885552267
100,شعارها,6.831737792558221
101,چاندار,9.134322885552267
102,برلن,9.134322885552267
103,اعتراضهای,9.134322885552267
104,ژثباتی,9.134322885552267
105,۵۰۳۶۵۹,8.441175704992322
106,مزاحمان,7.188412736496954
107,روزهایش,7.748028524432376
108,جوش‌های,8.441175704992322
109,صنوبری,9.134322885552267
110,کلرک,9.134322885552267
111,محلوج,9.134322885552267
112,خواهم_اکنون,9.134322885552267
113,مستندترین,9.134322885552267
114,حاملگی‌های,9.134322885552267
